Hastane,Toplantı No,Toplantı Tarihi,Alınan Kararlar,İlgii Kategori,Sorumlu,Mevcut Durum,Termin,Tamamlanma Tarihi,Sonuç / Açıklama / Değerlendirme,Öncelik Seviyesi
Liv Ankara,2026-02,2/25/26,Legionella testi için numune örneği Çankaya Belediyesi tarafından alınmıştır. 611 nolu odada pozitiflik tespit edilmiştir. Duş başlıklarının kireçten arındırma işlemi tekrarlanacaktır.,Altyapı,Tüm Birimler,Tamamlandı,3/20/26,6/20/26,,Düşük
Liv Ankara,2026-03,3/25/26,"Tutkun elektrik tarafından 09/12/2025 – 12/12/2025 tarihleri arasında görsel kontrol, termal test ve fonksiyonel testler şeklinde yapıklmış olan elektrik pano kontrollerinde; 1. Ank. Liv 07 k13 kombinasyon panosu trifaze priz kırık 2. Ank. Liv 15 k13 Asansör odası acil kit, Testleri yapıldı acil kitler çalışmıyor bataryaları bitik olabilir 3. Ank. Liv 16 k13 Asansör acil Kit 2, Testleri yapıldı acil kitler çalışmıyor bataryaları bitik olabilir 4.Ank liv 106 3. kat dağıtım panosu Oda içerisinde zayıf akım kabloları çok karışık reglaj olarak düzeltilmesi uygun olur dağıtım panosu içerisinde iç gömleklerden bir tanesi eksik 5. Ank liv 130 1. Kat ŞAFT dağıtım panosu, Pano içerisinde iç gömlek eksik 6. Ank liv 131 1. Kat KP1 Ahşap kapaklı kat panolarının içinde ve önünde izole paspas yok çalışma yapıldığı zaman kullanılmak üzere ahşap kapak içerisine izole halı konulması uygun olur 7. Ank liv 137 T1 MCC ASMA panosu Pano topraklama kapak kablosu kopuk 8.Ank liv 143 T1 ATOP 1 Yüksek Risk: Tiroide bağlı kaçak akım algılama rölesinin sigortası atık 9. Ank liv 175 Asma kat KP2, Sinyal lambası çalışmıyor 10. Ank liv 176 Asma kat Ups panosu Sinyal lambası çalışmıyor 11. Ank liv 177 Z. Kat panosu 1 Yüksek Risk: Tiroid kaçak akım rölesi devrede değil aktif hale getirilmeli 12. Ank liv 180 Z. Kat Ups panosu Yüksek Risk: Kaçak akım algılama devre dışı aktif hale getirilmeli 13. Ank liv 188 B1 kat mekanik dağıtım panosu Düşük Risk: Sinyal lambalarından bir tanesi çalışmıyor 14. Ank liv 191 B 1. Kat acil Kit B1kat koridor acil kit bataryaların değişmesi gerekir 15. Ank liv 198 B1 kat jenertör odası ACIL B1 jeneratör odası 198 nolu acil kit devrede değil aküleri boşalmış olabilir 16. Ank liv 209 1. Kat MCC panosu B1 kat sistem odası panonun ve kabloların düzenlenmesi gerekir",Altyapı,Tüm Birimler,Devam Ediyor,4/15/26,,,Kritik
Liv Ankara,2026-03,3/25/26,"Tutkun elektrik tarafından 09/12/2025 – 12/12/2025 tarihleri arasında görsel kontrol, termal test ve fonksiyonel testler şeklinde yapıklmış olan elektrik pano kontrollerinde; 17. Ank liv 218 B2. Kat ADP kat panosu 1 B2 kat adp odası kat panosu 1. TMS abb 160 amper. Isı sınır değerde kabloda yük bölümü yapılması uygun olur 18.Ank liv 222 B2. Kat ADP Kompanzasyon panosu 1-1 B2 adp odası kompanzasyon panosu. Birinci ve ikinci gözdeki fanlar çalışmıyor 19. Ank liv 223 B2. Kat ADP Kompanzasyon panosu 1-2 B2 adp odası kompanzasyon panosu. Birinci ve ikinci gözdeki fanlar çalışmıyor 20. Ank liv 230 B2 kat ADP Kompanzasyon panosu 2-4 B2 adp odası kompanzasyon panosu 2. 3 ve 4 gözlerdeki fanlar arızalı termostatlar çıkış yapıyor 21.Ank liv 231 B2. Kat ADP Kompanzasyon panosu 2-5 Yüksek Risk: Adp odası kompanzasyon panosu 2 2 göz ve 4 göz NH enerji çıkış tarafındaki kablo sıyırma plastikleri düşmüş ya da erimiş. Kabloların bir kısmı metale temas ediyor. Kabloların ısınmasıyla beraber ileride şase yapabilir 22. Ank liv 232 B2. Kat HYT ŞARJ ünite Orta Risk: B2 adp odası şarj ünitesi panosu içinde bulunan parafudrun enerji aldığı nokta tmş çıkışından alınmış girişinden alınması gerekir. Aynı zamanda parafudru besleyen sigortalar kartuş porselen sigortalar olması gerekir 23. Ank liv 250 B2 kat B2-2 Orta Risk: B2 trafo önündeki pano termostat çıkış yapıyor fan arızalı yemekhane mcc panosu 24.Ank liv 254 B3. Kat IT AP 4 B3 ameliyathane ıt panoları kapak topraklamaları yok 25. Ank liv 258 B3. Kat IT AP 2 B3 ameliyathane ıt panoları kapak topraklamaları yok 26. Ank liv 259/B 3. Kat IT AP3 B3 ameliyathane ıt panoları kapak topraklamaları yok 27. Ank liv 264 B3 kat panosu 3 Yüksek Risk: Troid kaçak akım algılama rölesi devre dışı bırakılmış aktif hale getirilmeli 28. Ank liv 265 B3. Kat Ups panosu 1 Yüksek Risk: B3 ameliyathane kat panosu 3 UPS 1 troid kaçak akım algılama röleleri devre dışı aktif hale getirilmeli 29. Ank liv 280 B5. Kat kat panosu 1 Yüksek Risk: B5 kat panosu 1 troite ait kaçak akım rölesi aktif değil 30. Ank liv 281 B5. Kat panosu 2 Orta Risk: B5 kat panosu 2 16 amperlik sigorta ısı seviyesi yüksek ve otomatın değiştirilmesi uygun olur 31. Ank liv 325 B6. Kat acil Kit B6 ups'lerin olduğu koridor akü bitik acil kit 32. Ank liv 351 yangın odası ACIL Kit 1 B7 kat yangın odası girişindeki acil aydınlatma bateriler bitmiş olabilir çalışmıyor 33. Ank liv ek 371 1. Kat Ups ve kat panosu Ek bina 1 kat panosu pano içinde alt gömlek yok",Altyapı,Tüm Birimler,Devam Ediyor,4/15/26,,,Kritik
Liv Ankara,2026-03,3/25/26,"Tutkun elektrik tarafından 09/12/2025 – 12/12/2025 tarihleri arasında görsel kontrol, termal test ve fonksiyonel testler şeklinde yapıklmış olan elektrik pano kontrollerinde; Tespit Sonuçları ve Öneriler Özel Ankara Liv Hastanesi’nde, 09/12/2025 – 12/12/2025 tarihleri arasında gerçekleştirilen periyodik elektrik pano bakımları hizmeti kapsamında Elektrik İç Tesisleri Yönetmeliği ve IEC standartlarına göre yapılan ölçümler ve tespitler sonucu aşağıda verilmiştir. İlgili yönetmelik ve standartlar doğrultusunda raporda bahsi geçen panoların ölçüm ve kontrolü sonucunda elektrik iç tesisatların YETERLİ, Hastane tesisinde IT ve TT sistemler çalışır vaziyette tespit edilmiş, TT sistemlerde akım koruma düzeneklerinin (kaçak akım koruma düzeneği veya troid röle) uygun değerlerde, son tüketim noktasına kadar koruma sağlayacak şekilde mevcut olduğu tespit edilmiş (bknz. Yönetici Özeti KAR devreye alınmalı noktaları hariç), Tesiste kullanılan sigortalar kablo kesitlerine uygun olarak seçildiği görülmüş, Faz – nötr iletkenlerinin doğru bağlandığı tespit edilmiş, Pano güvenlik tedbirlerin (kapı menteşeleri ve kilit sistemlerinin çalışır, yetkisiz müdahale önlemlerinin alındığı, ÖTL ve uyarı levhalarının asılı olduğu yangın sistemlerinin mevcudu) alındığı tespit edilmiş, Termal kamera ile yapılan ölçüm işlemlerinde kritik sıcaklık durumu gözlemlenmemiş olup (bknz. Termal Ölçüm Özet Listesi “uygun değil” notları hariç) yönetici özeti kısmında bahsi geçen noktalarda izleme önerileri verilmiştir.",Altyapı,Tüm Birimler,Devam Ediyor,4/15/26,,,Kritik
Liv Ankara,2026-03,3/25/26,Katlarda elektrik panolarında mini selfex yangın söndürme tüplerinden basınçları düşenler doluma gönderilmiştir. Bakımlardan kısa süre basınç düşmesi bakım sırasında kontrollerin aksadığını göstermektedir. Bakımlar teknik personel nezaretinde yapılacak aksaklıklar tespit edilecektir.,Yangın Güvenliği,Tüm Birimler,Tamamlandı,3/25/26,,,Kritik
Liv Ankara,2026-04,4/29/26,Nisan ayı içerisinde isg eğitimleri personel devir hızının yükselmesi dolayısıyla yeterli sayıda gerçekleştirilememiştir. Çalışanlar alanlardan ayrılamadığını bildirerek planlanan eğitimlere katılamamıştır. Eğitim alan çalışan sayısı yetersiz kalmıştır.,Diğer,Tüm Birimler,Tamamlandı,4/29/26,4/29/26,,Orta
Liv Ankara,2026-04,4/29/26,"Teknik Hizmetler tarafından chiller, jeneratörler, asansörler, kompresörler, trafo ve kompanizasyon pano bakımları yaptırılmıştır. Chillerin yağ selenoidinde tespit edilen kaçak giderilmiştir.",Altyapı,Tüm Birimler,Tamamlandı,4/29/26,4/29/26,,Yüksek Riskli
Liv Ankara,2026-04,4/29/26,Halk sağlığına 3 noktadan alınan su numuneleri kimyasal ve biyolojik analiz için gönderilmiştir. Numune sonuçlarında uygunsuzluk tespit edilmemiştir.,Altyapı,Tüm Birimler,Tamamlandı,4/29/26,4/29/26,,Yüksek Riskli
Liv Ankara,2026-04,4/29/26,Çalışanlar yemekhanenin sebilinden su içtiklerinde klor tadından dolayı içemediklerini ilettiler. Teknik hizmetlerin klor ölçümü sonucunda musluk suyu ile aynı oranda klor ölçümü yapılmıştır. Firma çağırılarak sebil kontrolü yapıldığında filtrasyonunda sıkıntı olduğu tespit edilerek iyileştirme yapılmıştır.,Altyapı,Tüm Birimler,Tamamlandı,4/29/26,4/29/26,,Riskli
Liv Ankara,2026-04,4/29/26,Çalışanların sağlık taramaları yapılmaya devam etmektedir. Eksik periyodik sağlık taraması bulunmamaktadır.,Diğer,Tüm Birimler,Tamamlandı,4/29/26,4/29/26,,Yüksek Riskli
