Hastane,Toplantı No,Toplantı Tarihi,Alınan Kararlar,İlgii Kategori,Sorumlu,Mevcut Durum,Termin,Tamamlanma Tarihi,Sonuç / Açıklama / Değerlendirme,Öncelik Seviyesi
Liv Ulus,2026-01,1/30/26,"18 Şubat 2022 tarih ve 31754 sayılı İş Ekipmanlarının Kullanımında Sağlık Ve Güvenlik Şartları Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik ile Endüstriyel Kapıların ve Endüstriyel Rafların Periyodik Kontrolünün TS EN 15635 standardı kapsamında yılda en az bir defa yaptırılması zorunlu hale gelmiştir. Endüstriyel kapı ve rafların periyodik muayenelerinin yaptırılması,",Diğer,Teknik Hizmetler,Devam Ediyor,30.10.2025 // 25.01.2026,,"Oğuzhan Bey, ilgili firma ile konu hakkında iletişime geçecek. // Talep açıldı merkezden onay bekleniyor. / Firma teklifi onay aşamasında",Yüksek Riskli
Liv Ulus,2026-01,1/30/26,"Hastanemizin asansörlerinin rengi mavidir. Tüm bakımları yapılmasına rağmen asansörde yaşanacak olan bir kaza, etiket renginin mavi olması nedeniyle, muayene sonrası gerekli eksiklikleri giderilmediği için işyeri adına kusur olarak değerlendirilecektir. Asansörlerin muayenesinde belirtilen eksikliklerin giderilerek yeşil etikete sahip olması,",Diğer,Teknik Hizmetler,Devam Ediyor,12/31/25,,Belirtilen eksiklikler için Teknik Hizmetlerin çalışma başlattığı ve sürecin takip edildiği belirtildi. // Asansör eksiklikleri belirleyecek firma gelecek ve fiyat belirlenecek. / 12 no'lu numara sesli uyarı aktif edildi.,Kritik
Liv Ulus,2026-01,1/30/26,Taşeron hizmeti aldığımız firmaların İSG Doküman kontrolünün yapılması,Diğer,İdari İşler ve Destek Hizmetleri,Devam Ediyor,12/31/25,,"Taşeron firmalarımıza 28.08.2025 tarihinde İSG Doküman kontrolü ve belgeler ile ilgili mail gönderilmiştir. İnceleme tamamlanmış, raporları hazırlanmıştır.Firmalarının döküman kontrolü tamamlanmış ve İdari İşler ve Destek Hizmetleri Müdürlüğüne raporlar gönderilmiştir. / Majör konular bulunmaktadır. Aşçıların mesleki yeterlilik belgelerinin bulunmaması, servis şoförlerinin scr, psikoteknik ve ehliyetlerinin bulunmaması, vale çalışanlarının ehliyetlerinin bulunmaması vb.",Riskli
Liv Ulus,2026-01,1/30/26,"Personel listemizin tamamının Temel İSG eğitimlerinin tamamlanması ve eğitim sonu sertifikalarının düzenlenerek belgelenmesi,",Diğer,Tüm Birimler,Devam Ediyor,Sürekli,,"Temel İSG Eğitimlerinin başlatılmasına , sertifikalarının imzalanarak İnsan Kaynaklarına teslim edilmesine karar verildi. Eğitimlerimiz devam etmektedir. Son personel listesi güncellemesinin ardından 607 personelimizin 557 tanesine eğitim verilmiştir. Personellerimizin % 91,76'sının eğitimi tamamlanmıştır. Özgür beyin kararıyla süreç İnsan Kaynakları Müdürlüğüne devredilmiştir. // Yıllık yenileme eğitimlerine yüz yüze devam edilecektir.",Orta
Liv Ulus,2026-01,1/30/26,"Bir yılı geçirmiş olan çalışanların sağlık periyodik muayenelerinin takibi,",Diğer,İşyeri Sağlık Birimi,Devam Ediyor,Sürekli,,"Belirli aylarda muayeneleri yapılmakta devam ediyor, yılbaşında bir takvim yapılıp ona göre ilerlenmektedir, eksik olan birkaç bölümünde süreci devam ediyor..",Yüksek Riskli
Liv Ulus,2026-01,1/30/26,"İlkyardımcı sayımızın personel sayımızın onda biri yaklaşık olarak 70 kişi olması gerekmektedir. İlkyardımcı sayımız 24 adettir. Eksik kalan 46 ilkyardımcı sayısının tamamlanması için ilkyardım eğitimi aldırılması,",Diğer,Tüm Birimler,Devam Ediyor,9/30/25,,"Ağustos ve Eylül aylarında ilkyardımcı eğitimlerinin planlanmasına karar verildi. Hastane içinden ruhsat alınması durumunda eğitim verilmesi ile ilgili destek alınması mümkün olabileceği ve İK Şehriban hanımın merkez göztepe ile süreç hakkında bilgi alabileceği konuşuldu. // Başhekimlik tarafından, Sağlık bakanlığından gelen yazıya istinaden Çalışma bakanlığı ile iletişime geçildi. Çalışma Bakalığından dönüş beklenmektedir.",Orta
Liv Ulus,2026-01,1/30/26,Radyasyonlu alanlarda kişisel dozimetre sonuçları,Diğer,Tüm Birimler,Devam Ediyor,7/28/25,,Hüseyin bey tarafından son gelen verilerin uygun olduğu bildirildi.,Düşük
Liv Ulus,2026-01,1/30/26,Çalışanların zarar görme risklerinin azaltılması ve riskli alanlarda çalışanlara yönelik gerekli önlemlerin alınması çalışmalara yapılan bina turlarında bakılmakta bulgu görülmesi halinde ilgili birimlere yazılı olarak bildirim yapılmaktadır.,Diğer,Tüm Birimler,Devam Ediyor,Sürekli,,"İşlem yapılacak hastaların öncesinde hıv testi çalışılması, 4 aylık profilaxi çalışılmasına başlandı. Lokal göz hastaların seroloji testlerine çalışılıcak. // Hüsniye hanım, Hüseyin bey ile görüşme sağlayacak. // Başhekim sürecinde. // Maliyet hesabı yapılacak. //",Yüksek Riskli
Liv Ulus,2026-01,1/30/26,Şiddete maruz kalma risklerinin azaltılması için beyaz kod sürecimiz mevcuttur. Şiddete maruz kalan çalışanlarımız olur ise ikinci mağdur prosedürü uygulanmaktadır.,Güvenlik,Tüm Birimler,Devam Ediyor,Sürekli,,Aralık ayında beyaz kod yaşanmamıştır.,Yüksek Riskli
Liv Ulus,2026-01,1/30/26,"Kesici delici alet yaralanması, kan ve vücut sıvıları ile bulaş ve tehlikeli maddeye maruziyet takibi her ay düzenli olarak yapılmaktadır. Olayların yaşanması durumunda hızlıca müdahale edilerek, tedavileri yapılmakta ve sonrasında eğitim verilmektedir.",Diğer,Tüm Birimler,Devam Ediyor,Sürekli,,"Aralık ayında 4 adet iş kazası olmuştur. 1 adet kesici delici alet yaralanması yaşanmıştır. 1 adet kayma düşme, bir adet diz yaralanamsı ve bir adet Kan ve Vücut Sıvıları İle Bulaşi iş kazası yaşanmıştır. Çalışanların muayene ve kontrolleri yapılmış olup kaza sonrası eğitimleri verilecektir. Kök neden çalışması devam ediyor.",Kritik
Liv Ulus,2026-02,2/27/26,"İtfaiye raporunun yenilenmesi hakkında bilgilendirme,",Acil Durum Yönetimi,Tüm Birimler,Tamamlandı,,2/27/26,2025 yılında mevcut itfaiye raporu merkeze iletildi ve aynı yıl içinde hastanemiz itfaiye ekipleri tarafından da rapora uygunluk denetim geçerdi. Mevcut itfaiye raporu kurul kararıyla güncelliğini sürdürüyor.,Kritik
Liv Ulus,2026-02,2/27/26,"Personel servisinde servis sorumluları belirlenip görev tanımları imzalatılmalı, servise binen personel bilgileri görünür şekilde asılmalı,",Diğer,İdari İşler ve Destek Hizmetleri,Devam Ediyor,3/27/26,,"Servis sorumluluları belirlenip, mail ve whatsapp grubu üyeleri yenilenecek, servis sorumlularının bilgileri araç içine görünür yere asılacak. Personellerin hangi aracı kullanacağının bilgileri servise görünür yere asılacak. Servis denetimlerine servis sorumluları destek sağlayacak.",Düşük
Liv Ulus,2026-02,2/27/26,"Yangın tahliye basınçlandırma fanlarının bakım, kontrol ve periyodik muayene raporunun bulunmaması,",Acil Durum Yönetimi,Teknik Hizmetler,Devam Ediyor,3/30/26,,Merkeze talep açıldı onaylanması için bekleniyor. // Tekrar talep açılacak. / Muayeneler yapıldı rapor bekleniyor.,Kritik
Liv Ulus,2026-02,2/27/26,"Kapalı otopark alanında bulunan karbonmonoksit dedektörlerinin bakım ve kontrol kayıtlarının bulunmaması,",Acil Durum Yönetimi,Teknik Hizmetler,Devam Ediyor,31.01.2026 // 03.03.2026 // 04.04.2026,,Firma keşif yapacak ve talep açılacak. // Şubat ayındaki bakımda bakılacak. / Talep açıldı merkezden onay bekleniyor.,Kritik
Liv Ulus,2026-02,2/27/26,Ana Depolama alanına ek olarak kullanılan bölümde ilave duman algılama ve söndürme sisteminin eklenmesi,Acil Durum Yönetimi,Teknik Hizmetler,Devam Ediyor,31.01.2026 // 03.03.2026 // 04.04.2026,,"Aralık ayında yangın firması tarafından çalışma yapılacak. // Anka yangın firması Ocak ayında gelip bakacak // 50 Kg' lık tüp temiz edildi, Şubatta keşif yapılıp, Lup için dedektör için talep açılacak. / Mart ayında keşif yapılacak.",Kritik
Liv Ulus,2026-02,2/27/26,"2025 Mart ayında yapılan yangın pompasının bakımında elektrikli yangın pompasında panel arızasının tespit edilmesi,",Acil Durum Yönetimi,Teknik Hizmetler,Devam Ediyor,26.11.2025 // 01.03.2026 // 09.05.2026,,"Firmaya ödeme yapılması bekleniyor. // Firma geldi arıza çözümü için ilgileniyor. // Talep açıldı. // Firma değişikliği yapıldı keşif yapılacak. / Panel siparişi onaylandı, tedarik bekleniyor.",Kritik
Liv Ulus,2026-02,2/27/26,Ameliyathane de bulunan acil durumda kırılarak tahliyeyi sağlayacak olan gizli geçit bölümün ardında yan yana üç adet atık konteynerleri bulunmakta ve atıklar yan oda penceresinden atılmaktadır. Tahliye koridoru üzerinde atık konteynerleri konumlandırılm,Acil Durum Yönetimi,Teknik Hizmetler,Devam Ediyor,1.02.2026 //,,"Madde görüşülmüş olup teknik değerlendirme gerektirdiğinden karar alınamamış olup, bir sonraki kurul toplantısında tekrar görüşülmesine karar verilmiştir.",Kritik
Liv Ulus,2026-02,2/27/26,"Tahliye ve yangın tatbikatında görülen eksiklikler, Telsizler hastane genelinde çekmemesi,",Acil Durum Yönetimi,Teknik Hizmetler,Devam Ediyor,26.11.2025 / 26.11.2025 / 20.03.2026 / 25.05.2026,,Telsizlerin özellikleri belirlenerek satın alması gerçekleştirilecek. / Süreç teknik hizmetler tarafından yürütülecek. // Telsizlerin alımları konusu yeni yılda tekrar merkez ile görüşülecek. / Merkezden tedarik bekleniyor.,Kritik
Liv Ulus,2026-02,2/27/26,"18 Şubat 2022 tarih ve 31754 sayılı İş Ekipmanlarının Kullanımında Sağlık Ve Güvenlik Şartları Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik ile Endüstriyel Kapıların ve Endüstriyel Rafların Periyodik Kontrolünün TS EN 15635 standardı kapsamında yılda en az bir defa yaptırılması zorunlu hale gelmiştir. Endüstriyel kapı ve rafların periyodik muayenelerinin yaptırılması,",Cihaz-Ekipman-Malzeme Yönetimi,Teknik Hizmetler,Devam Ediyor,30.10.2025 // 25.01.2026 / 25.04.2026,,Bu yılkı periyodik muayenelerin yenilenmesi sırasında İbrahim bey tarafından yaptırılmıştır. / Muayene yapıldı rapor bekleniyor.,Yüksek Riskli
Liv Ulus,2026-02,2/27/26,"Hastanemizin asansörlerinin rengi mavidir. Tüm bakımları yapılmasına rağmen asansörde yaşanacak olan bir kaza, etiket renginin mavi olması nedeniyle, muayene sonrası gerekli eksiklikleri giderilmediği için işyeri adına kusur olarak değerlendirilecektir. Asansörlerin muayenesinde belirtilen eksikliklerin giderilerek yeşil etikete sahip olması,",Cihaz-Ekipman-Malzeme Yönetimi,Teknik Hizmetler,Devam Ediyor,31.12.2025 /,,Belirtilen eksiklikler için Teknik Hizmetlerin çalışma başlattığı ve sürecin takip edildiği belirtildi. // Asansör eksiklikleri belirleyecek firma gelecek ve fiyat belirlenecek. / 12 no'lu numara sesli uyarı aktif edildi. /,Kritik
Liv Ulus,2026-02,2/27/26,"Kişisel Koruyucu donanım tedariği, teslimi ve kullanımı, teknik hizmetler yüksekte çalışma ve KKD kontrolü,",Diğer,Tüm Birimler,Devam Ediyor,Sürekli,,"Her personelin KKD teslim sürecinde zimmet formu ıslak imza altına alınıp İK birimine teslim edilmesi. // İSGF-04-03 kişisel koruyucu donanım formu her işe girişlerde İK birimi tarafından doldurulacak. Eski personellere İK tarafından çıktıları verilen KKD formları doldurulup İK'ya teslim edilecek. Süreç İK üzerinden yönetilecek. // Misafir Hizmetleri, Otelcilik, Satın alma tamamlanacak.",Riskli
Liv Ulus,2026-02,2/27/26,"İş sağlığı ve güvenliği hizmetleri yönetmeliği, madde 10 hükümleri gereğince hastanemizde iş sağlığı ve güvenliği birimi kurulması,",Diğer,Tüm Birimler,Tamamlandı,2/5/26,2/5/26,1. Katta odaya İş Sağlığı ve Güvenliği Birimi taşınmıştır.,Orta
Liv Ulus,2026-02,2/27/26,"Pano odasında elektrik kablolarının tava içinden geçişlerinde üst kısımları kapatılmadığı için yangın söndürme cihaz kontrollerinde veya geçiş güzergahında direkt elektrik kablolarının üzerine basıldığından elektrik çarpılma riski,",Diğer,Teknik Hizmetler,Devam Ediyor,26.12.2025 / 20.05.2026,,"Malzeme bekleniyor, kablo tavasının üzerine sac yapılacak. // talebi açık onay bekleniyor. / İki hafta içinde malzemeler gelecek ve monte edilecek.",Kritik
Liv Ulus,2026-02,2/27/26,"Depolama alanında kullanılan kimyasalların altında dökülme, sızma durumunda çevreye yayılmaması için taşma tavasının olmaması",Çevre Yönetimi,İnsan Kaynakları,Devam Ediyor,26.11.2025 / 30.01.2025 / 27.04.2026,,Teknik hizmetler talep oluşturacak. / Talep açıldı. / Kimyasal dolaplar temin edildi. Taşma tavaları için sipariş geçilecek.,Yüksek Riskli
Liv Ulus,2026-02,2/27/26,"Araç kullanan çalışanların, araç kullanımından kaynaklı riskler hakkında eğitim ve bilgilendirme zorunluluğu bulunmaktadır. Konuyla ilgili uygulama “Güvenli Sürüş Eğitimi” olarak tanımlanmakta olup yetkili firmalar tarafından teorik ve uygulamalı olmak üzere iki adımda verilmesi,",Diğer,Tüm Birimler,Devam Ediyor,12.12.2025 / 01.03.2026 / 27.04.2026,,"Şoför işe alım kriterlerine madde olarak eklendi. Mevcutta çalışan personellere belgenin aldırılmasının, bir yıl içinde işten ayrılmaları durumunda ücretin iade alınmasının kurulda uygun bulunduğu karara bağlandı. Konunun Genel Müdürümüze taşınılmasına karar verildi. // 3 personele eğitim aldırılacak, süreçlerin nasıl işleneceği belirlenecek. //",Yüksek Riskli
Liv Ulus,2026-02,2/27/26,Taşeron hizmeti aldığımız firmaların İSG Doküman kontrolünün yapılması,Diğer,İdari İşler ve Destek Hizmetleri,Devam Ediyor,31.12.2025 / 27.04.2026,,"Taşeron firmalarımıza 28.08.2025 tarihinde İSG Doküman kontrolü ve belgeler ile ilgili mail gönderilmiştir. İnceleme tamamlanmış, raporları hazırlanmıştır.Firmalarının döküman kontrolü tamamlanmış ve İdari İşler ve Destek Hizmetleri Müdürlüğüne raporlar gönderilmiştir. / Majör konular bulunmaktadır. Aşçıların mesleki yeterlilik belgelerinin bulunmaması, servis şoförlerinin scr, psikoteknik ve ehliyetlerinin bulunmaması, vale çalışanlarının ehliyetlerinin bulunmaması vb.",Riskli
Liv Ulus,2026-02,2/27/26,"Personel listemizin tamamının Temel İSG eğitimlerinin tamamlanması ve eğitim sonu sertifikalarının düzenlenerek belgelenmesi,",Diğer,İnsan Kaynakları,Devam Ediyor,Sürekli,Sürekli,"Temel İSG Eğitimlerinin başlatılmasına , sertifikalarının imzalanarak İnsan Kaynaklarına teslim edilmesine karar verildi. Eğitimlerimiz devam etmektedir. Son personel listesi güncellemesinin ardından 607 personelimizin 562 tanesine eğitim verilmiştir. Personellerimizin % 92,42'sinin eğitimi tamamlanmıştır. Özgür beyin kararıyla süreç İnsan Kaynakları Müdürlüğüne devredilmiştir. // Yıllık yenileme eğitimlerine yüz yüze devam edilecektir.",Orta
Liv Ulus,2026-02,2/27/26,"Bir yılı geçirmiş olan çalışanların sağlık periyodik muayenelerinin takibi,",Diğer,İşyeri Sağlık Birimi,Devam Ediyor,Sürekli,Sürekli,"Belirli aylarda muayeneleri yapılmakta devam ediyor, yılbaşında bir takvim yapılıp ona göre ilerlenmektedir, eksik olan birkaç bölümünde süreci devam ediyor.",Yüksek Riskli
Liv Ulus,2026-02,2/27/26,"İlkyardımcı sayımızın personel sayımızın onda biri yaklaşık olarak 70 kişi olması gerekmektedir. İlkyardımcı sayımız 24 adettir. Eksik kalan 46 ilkyardımcı sayısının tamamlanması için ilkyardım eğitimi aldırılması,",Diğer,Tüm Birimler,Devam Ediyor,9/30/25,,"Ağustos ve Eylül aylarında ilkyardımcı eğitimlerinin planlanmasına karar verildi. Hastane içinden ruhsat alınması durumunda eğitim verilmesi ile ilgili destek alınması mümkün olabileceği ve İK Şehriban hanımın merkez göztepe ile süreç hakkında bilgi alabileceği konuşuldu. // Başhekimlik tarafından, Sağlık bakanlığından gelen yazıya istinaden Çalışma bakanlığı ile iletişime geçildi. Çalışma Bakanlığından dönüş beklenmektedir.",Orta
Liv Ulus,2026-02,2/27/26,Radyasyonlu alanlarda kişisel dozimetre sonuçları,Diğer,Tüm Birimler,Devam Ediyor,28.07.2025 //,,Hüseyin bey tarafından 15.01.2026 tarihinde iletilen ölçüm sonuçlarının uygun olduğu belirtildi.,Düşük
Liv Ulus,2026-02,2/27/26,Çalışanların zarar görme risklerinin azaltılması ve riskli alanlarda çalışanlara yönelik gerekli önlemlerin alınması çalışmalara yapılan bina turlarında bakılmakta bulgu görülmesi halinde ilgili birimlere yazılı olarak bildirim yapılmaktadır.,Diğer,Tüm Birimler,Tamamlandı,2/27/26,2/27/26,"Genel anastezi altında olan ameliyat altında tüm seroloji testleri çalışıyor, lokal anestezi altında olacak işlemler için hekim kararı ile seroloji testi alınabilir.",Yüksek Riskli
Liv Ulus,2026-02,2/27/26,Şiddete maruz kalma risklerinin azaltılması için beyaz kod sürecimiz mevcuttur. Şiddete maruz kalan çalışanlarımız olur ise ikinci mağdur prosedürü uygulanmaktadır.,Güvenlik,Tüm Birimler,Devam Ediyor,Sürekli,Sürekli,Ocak ayında beyaz kod yaşanmamıştır.,Yüksek Riskli
Liv Ulus,2026-02,2/27/26,"Kesici delici alet yaralanması, kan ve vücut sıvıları ile bulaş ve tehlikeli maddeye maruziyet takibi her ay düzenli olarak yapılmaktadır. Olayların yaşanması durumunda hızlıca müdahale edilerek, tedavileri yapılmakta ve sonrasında eğitim verilmektedir.",Diğer,Tüm Birimler,Devam Ediyor,Sürekli,,"Ocak ayında 7 adet iş kazası olmuştur. 2 adet kesici delici alet yaralanması yaşanmıştır. 1 adet kayma düşme, 2 adet çarpma/travma, 1 adet yemekhane kaynaklı zehirlenme ve 1 adet Kan ve Vücut Sıvıları İle Bulaşı iş kazası yaşanmıştır. Çalışanların muayene ve kontrolleri yapılmış olup kaza sonrası eğitimleri verilecektir. Kök neden çalışması devam ediyor.",Kritik
Liv Ulus,2026-03,3/27/26,"2026 Hap çalışmaları,",Acil Durum Yönetimi,Tüm Birimler,Devam Ediyor,,,31.03.2025 tarihine Hap toplantısı planlanmıştır.,Kritik
Liv Ulus,2026-03,3/27/26,"Kimyasal madde envanter çalışması,",Çevre Yönetimi,Tüm Birimler,Devam Ediyor,4/10/26,,"Hali hazırda kullanılan kimyasalların MSDS formları hazır, güncellenecek malzemelerin onayı bekleniyor.",Yüksek Riskli
Liv Ulus,2026-03,3/27/26,"Hasta yatış işlemleri kısmında kullanılan plastik dosyalarda paslı tellere rastlanılması,",Diğer,Tüm Birimler,Devam Ediyor,4/27/26,,"Dosyaların tekrar kullanımının önlenmesi, paslı olan dosyaların kullanılmayacak.",Düşük
Liv Ulus,2026-03,3/27/26,"Personel servisinde servis sorumluları belirlenip görev tanımları imzalatılmalı, servise binen personel bilgileri görünür şekilde asılmalı,",Diğer,İdari İşler ve Destek Hizmetleri,Devam Ediyor,5/27/26,,"Servis sorumluluları belirlenip, mail ve whatsapp grubu üyeleri yenilenecek, servis sorumlularının bilgileri araç içine görünür yere asılacak. Personellerin hangi aracı kullanacağının bilgileri servise görünür yere asılacak. Servis denetimlerine servis sorumluları destek sağlayacak.",Düşük
Liv Ulus,2026-03,3/27/26,"Yangın tahliye basınçlandırma fanlarının bakım, kontrol ve periyodik muayene raporunun bulunmaması,",Yangın Güvenliği,Teknik Hizmetler,Devam Ediyor,4/30/26,,Merkeze talep açıldı onaylanması için bekleniyor. // Tekrar talep açılacak. / Muayeneler yapıldı rapor bekleniyor.,Kritik
Liv Ulus,2026-03,3/27/26,"Kapalı otopark alanında bulunan karbonmonoksit dedektörlerinin bakım ve kontrol kayıtlarının bulunmaması,",Yangın Güvenliği,Teknik Hizmetler,Devam Ediyor,4/30/26,,Firma keşif yapacak ve talep açılacak. // Şubat ayındaki bakımda bakılacak. / Talep açıldı merkezden onay bekleniyor. / Yeni karbonmonoksit dedektörlerinin montajına başladı.,Kritik
Liv Ulus,2026-03,3/27/26,Ana Depolama alanına ek olarak kullanılan bölümde ilave duman algılama ve söndürme sisteminin eklenmesi,Yangın Güvenliği,Teknik Hizmetler,Tamamlandı,4/4/26,4/4/26,"Aralık ayında yangın firması tarafından çalışma yapılacak. // Anka yangın firması Ocak ayında gelip bakacak // 50 Kg' lık tüp temiz edildi, Şubatta keşif yapılıp, Lup için dedektör için talep açılacak. / Mart ayında keşif yapılacak. Duman algılama dedektörü eklendi.",Kritik
Liv Ulus,2026-03,3/27/26,"2025 Mart ayında yapılan yangın pompasının bakımında elektrikli yangın pompasında panel arızasının tespit edilmesi,",Yangın Güvenliği,Teknik Hizmetler,Tamamlandı,5/9/26,5/9/26,"Firmaya ödeme yapılması bekleniyor. // Firma geldi arıza çözümü için ilgileniyor. // Talep açıldı. // Firma değişikliği yapıldı keşif yapılacak. / Panel siparişi onaylandı, tedarik bekleniyor. / Pompa arızası giderildi.",Kritik
Liv Ulus,2026-03,3/27/26,Ameliyathane de bulunan acil durumda kırılarak tahliyeyi sağlayacak olan gizli geçit bölümün ardında yan yana üç adet atık konteynerleri bulunmakta ve atıklar yan oda penceresinden atılmaktadır. Tahliye koridoru üzerinde atık konteynerleri konumlandırılması,Acil Durum Yönetimi,Teknik Hizmetler,Devam Ediyor,6/30/26,,"Madde görüşülmüş olup teknik değerlendirme gerektirdiğinden karar alınamamış olup, bir sonraki kurul toplantısında tekrar görüşülmesine karar verilmiştir.",Kritik
Liv Ulus,2026-03,3/27/26,"Tahliye ve yangın tatbikatında görülen eksiklikler, Telsizler hastane genelinde çekmemesi,",Acil Durum Yönetimi,Teknik Hizmetler,Devam Ediyor,5/25/26,,Telsizlerin özellikleri belirlenerek satın alması gerçekleştirilecek. / Süreç teknik hizmetler tarafından yürütülecek. // Telsizlerin alımları konusu yeni yılda tekrar merkez ile görüşülecek. / Merkezden tedarik bekleniyor.,Kritik
Liv Ulus,2026-03,3/27/26,"18 Şubat 2022 tarih ve 31754 sayılı İş Ekipmanlarının Kullanımında Sağlık Ve Güvenlik Şartları Yönetmeliğinde Değişiklik Yapılmasına Dair Yönetmelik ile Endüstriyel Kapıların ve Endüstriyel Rafların Periyodik Kontrolünün TS EN 15635 standardı kapsamında yılda en az bir defa yaptırılması zorunlu hale gelmiştir. Endüstriyel kapı ve rafların periyodik muayenelerinin yaptırılması,",Diğer,Teknik Hizmetler,Devam Ediyor,4/25/26,,Bu yılkı periyodik muayenelerin yenilenmesi sırasında İbrahim bey tarafından yaptırılmıştır. / Muayene yapıldı rapor bekleniyor.,Yüksek Riskli
Liv Ulus,2026-03,3/27/26,"Hastanemizin asansörlerinin rengi mavidir. Tüm bakımları yapılmasına rağmen asansörde yaşanacak olan bir kaza, etiket renginin mavi olması nedeniyle, muayene sonrası gerekli eksiklikleri giderilmediği için işyeri adına kusur olarak değerlendirilecektir. Asansörlerin muayenesinde belirtilen eksikliklerin giderilerek yeşil etikete sahip olması,",Diğer,Teknik Hizmetler,Devam Ediyor,,,Belirtilen eksiklikler için Teknik Hizmetlerin çalışma başlattığı ve sürecin takip edildiği belirtildi. // Asansör eksiklikleri belirleyecek firma gelecek ve fiyat belirlenecek. / 12 no'lu numara sesli uyarı aktif edildi. /,Kritik
Liv Ulus,2026-03,3/27/26,"Kişisel Koruyucu donanım tedariği, teslimi ve kullanımı, teknik hizmetler yüksekte çalışma ve KKD kontrolü,",Diğer,Tüm Birimler,Devam Ediyor,,Sürekli,"Her personelin KKD teslim sürecinde zimmet formu ıslak imza altına alınıp İK birimine teslim edilmesi. // İSGF-04-03 kişisel koruyucu donanım formu her işe girişlerde İK birimi tarafından doldurulacak. Eski personellere İK tarafından çıktıları verilen KKD formları doldurulup İK'ya teslim edilecek. Süreç İK üzerinden yönetilecek. // Misafir Hizmetleri, Otelcilik, Satın alma tamamlanacak.",Riskli
Liv Ulus,2026-03,3/27/26,"Pano odasında elektrik kablolarının tava içinden geçişlerinde üst kısımları kapatılmadığı için yangın söndürme cihaz kontrollerinde veya geçiş güzergahında direkt elektrik kablolarının üzerine basıldığından elektrik çarpılma riski,",Diğer,Teknik Hizmetler,Tamamlandı,5/20/26,5/20/26,"Malzeme bekleniyor, kablo tavasının üzerine sac yapılacak. // talebi açık onay bekleniyor. / İki hafta içinde malzemeler gelecek ve monte edilecek. / Koruma yapılmıştır.",Kritik
Liv Ulus,2026-03,3/27/26,"Depolama alanında kullanılan kimyasalların altında dökülme, sızma durumunda çevreye yayılmaması için taşma tavasının olmaması",Diğer,İnsan Kaynakları,Devam Ediyor,4/27/26,,Teknik hizmetler talep oluşturacak. / Talep açıldı. / Kimyasal dolaplar temin edildi. Taşma tavaları için sipariş geçilecek. / Merkez satın almada fiyatlandırma sürecinde.,Yüksek Riskli
Liv Ulus,2026-03,3/27/26,"Araç kullanan çalışanların, araç kullanımından kaynaklı riskler hakkında eğitim ve bilgilendirme zorunluluğu bulunmaktadır. Konuyla ilgili uygulama “Güvenli Sürüş Eğitimi” olarak tanımlanmakta olup yetkili firmalar tarafından teorik ve uygulamalı olmak üzere iki adımda verilmesi,",Diğer,Tüm Birimler,Devam Ediyor,4/27/26,,"Şoför işe alım kriterlerine madde olarak eklendi. Mevcutta çalışan personellere belgenin aldırılmasının, bir yıl içinde işten ayrılmaları durumunda ücretin iade alınmasının kurulda uygun bulunduğu karara bağlandı. Konunun Genel Müdürümüze taşınılmasına karar verildi. // 3 personele eğitim aldırılacak, süreçlerin nasıl işleneceği belirlenecek. // 4. personel Nisan ayında başladıktan sonra süreç başlayacaktır.",Yüksek Riskli
Liv Ulus,2026-03,3/27/26,Taşeron hizmeti aldığımız firmaların İSG Doküman kontrolünün yapılması,Diğer,İdari İşler ve Destek Hizmetleri,Devam Ediyor,4/27/26,Sürekli,"Taşeron firmalarımıza 28.08.2025 tarihinde İSG Doküman kontrolü ve belgeler ile ilgili mail gönderilmiştir. İnceleme tamamlanmış, raporları hazırlanmıştır.Firmalarının döküman kontrolü tamamlanmış ve İdari İşler ve Destek Hizmetleri Müdürlüğüne raporlar gönderilmiştir. / Majör konular bulunmaktadır. Aşçıların mesleki yeterlilik belgelerinin bulunmaması, servis şoförlerinin scr, psikoteknik ve ehliyetlerininde eksiklikler bulunmaması, vale çalışanlarının ehliyetlerinin bulunmaması vb.",Riskli
Liv Ulus,2026-03,3/27/26,"Personel listemizin tamamının Temel İSG eğitimlerinin tamamlanması ve eğitim sonu sertifikalarının düzenlenerek belgelenmesi,",Diğer,İnsan Kaynakları,Devam Ediyor,,Sürekli,"Temel İSG Eğitimlerinin başlatılmasına , sertifikalarının imzalanarak İnsan Kaynaklarına teslim edilmesine karar verildi. Eğitimlerimiz devam etmektedir. Son personel listesi güncellemesinin ardından 622 personelimizin 579 tanesine eğitim verilmiştir. Personellerimizin % 93,09'unun eğitimi tamamlanmıştır. Özgür beyin kararıyla süreç İnsan Kaynakları Müdürlüğüne devredilmiştir. // Yıllık yenileme eğitimlerine yüz yüze devam edilecektir.",Orta
Liv Ulus,2026-03,3/27/26,"Bir yılı geçirmiş olan çalışanların sağlık periyodik muayenelerinin takibi,",Diğer,İşyeri Sağlık Birimi,Devam Ediyor,,Sürekli,"Belirli aylarda muayeneleri yapılmakta devam ediyor, yılbaşında bir takvim yapılıp ona göre ilerlenmektedir, eksik olan birkaç bölümünde süreci devam ediyor.",Yüksek Riskli
